url,result,problem,Accuracy
https://www.kaggle.com/c/house-prices-advanced-regression-techniques,success,,67.00%
https://www.kaggle.com/c/titanic,success,,
https://www.kaggle.com/c/mercari-price-suggestion-challenge,success,,
https://www.kaggle.com/c/recruit-restaurant-visitor-forecasting,fail,two seperate sets of train data and id in test data needs combination,
https://www.kaggle.com/c/statoil-iceberg-classifier-challenge,fail,fileformat-json,
https://www.kaggle.com/c/favorita-grocery-sales-forecasting,success,,
https://www.kaggle.com/c/spooky-author-identification,success,,
https://www.kaggle.com/c/porto-seguro-safe-driver-prediction,success,,
https://www.kaggle.com/c/text-normalization-challenge-english-language,success,,
https://www.kaggle.com/c/text-normalization-challenge-russian-language,success,,
https://www.kaggle.com/c/msk-redefining-cancer-treatment,fail,fileformat-||seperated,
https://www.kaggle.com/c/nyc-taxi-trip-duration,success,,
https://www.kaggle.com/c/instacart-market-basket-analysis,fail,train set and test set are interwindes in a single file,
https://www.kaggle.com/c/mercedes-benz-greener-manufacturing,success,,
https://www.kaggle.com/c/sberbank-russian-housing-market,success,,
https://www.kaggle.com/c/two-sigma-connect-rental-listing-inquiries,fail,fileformat-json,
https://www.kaggle.com/c/quora-question-pairs,success,,
https://www.kaggle.com/c/march-machine-learning-mania-2017,fail, label needs artifical manipulation,
https://www.kaggle.com/c/transfer-learning-on-stack-exchange-tags,success,,
https://www.kaggle.com/c/santas-uncertain-bags,fail,train_data needs math process,
https://www.kaggle.com/c/santander-product-recommendation,fail,multiple targets,
https://www.kaggle.com/c/allstate-claims-severity,success,,
https://www.kaggle.com/c/ghouls-goblins-and-ghosts-boo,success,,
https://www.kaggle.com/c/shelter-animal-outcomes,fail,multipe targets,
https://www.kaggle.com/c/facebook-v-predicting-check-ins,success,,
https://www.kaggle.com/c/kobe-bryant-shot-selection,success,,
https://www.kaggle.com/c/word2vec-nlp-tutorial,success,,
https://www.kaggle.com/c/santander-customer-satisfaction,success,,
https://www.kaggle.com/c/data-science-london-scikit-learn,success,,
https://www.kaggle.com/c/just-the-basics-the-after-party,success,,
https://www.kaggle.com/c/just-the-basics-strata-2013,success,,
https://www.kaggle.com/c/bnp-paribas-cardif-claims-management,success,,
https://www.kaggle.com/c/march-machine-learning-mania-2016,fail,label needs artifical manipulation,
https://www.kaggle.com/c/telstra-recruiting-network,success,,
https://www.kaggle.com/c/prudential-life-insurance-assessment,success,,
https://www.kaggle.com/c/airbnb-recruiting-new-user-bookings,fail,different name for the same key,
https://www.kaggle.com/c/homesite-quote-conversion,success,,
https://www.kaggle.com/c/the-winton-stock-market-challenge,fail,multipe targets,
https://www.kaggle.com/c/whats-cooking,fail,fileformat-json,
https://www.kaggle.com/c/rossmann-store-sales,success,,
https://www.kaggle.com/c/springleaf-marketing-response,success,,
https://www.kaggle.com/c/flavours-of-physics,fail,target variable extract fail,
https://www.kaggle.com/c/coupon-purchase-prediction,fail,label need artificial manipulation,
https://www.kaggle.com/c/caterpillar-tube-pricing,success,,
https://www.kaggle.com/c/grasp-and-lift-eeg-detection,fail,multipe targets,
https://www.kaggle.com/c/liberty-mutual-group-property-inspection-prediction,success,,
https://www.kaggle.com/c/crowdflower-search-relevance,success,,
https://www.kaggle.com/c/pkdd-15-predict-taxi-service-trajectory-i,fail,target variable extract fail,
https://www.kaggle.com/c/predict-west-nile-virus,fail,same name for different features,
https://www.kaggle.com/c/facebook-recruiting-iv-human-or-bot,success,,
https://www.kaggle.com/c/random-acts-of-pizza,fail,Fileformat-json,
https://www.kaggle.com/c/poker-rule-induction,success,,
https://www.kaggle.com/c/bike-sharing-demand,success,,
https://www.kaggle.com/c/otto-group-product-classification-challenge,success,,
https://www.kaggle.com/c/how-much-did-it-rain,success,though the label is not exactly as what the submission required,
https://www.kaggle.com/c/forest-cover-type-prediction,success,,
https://www.kaggle.com/c/restaurant-revenue-prediction,success,,
https://www.kaggle.com/c/march-machine-learning-mania-2015,fail,third of its kind label needs manipulation,
https://www.kaggle.com/c/sentiment-analysis-on-movie-reviews,success,,
https://www.kaggle.com/c/avazu-ctr-prediction, fail, memory error (largest file 1.04G),
https://www.kaggle.com/c/helping-santas-helpers, fail, datasheet needs math process,
https://www.kaggle.com/c/tradeshift-text-classification, fail, multiple lables,
https://www.kaggle.com/c/learning-social-circles, fail, file-format:text,
https://www.kaggle.com/c/afsis-soil-properties, fail, multiple labels, 
https://www.kaggle.com/c/higgs-boson, success,,
https://www.kaggle.com/c/liberty-mutual-fire-peril, success,,
https://www.kaggle.com/c/mlsp-2014-mri, success,,
https://www.kaggle.com/c/kdd-cup-2014-predicting-excitement-at-donors-choose, fail, train and test in the same datasheet and spilt by data,
https://www.kaggle.com/c/wise-2014, fail, file-format:arff and libvsm,
https://www.kaggle.com/c/allstate-purchase-prediction-challenge, fail, mutiple lables,
https://www.kaggle.com/c/walmart-recruiting-store-sales-forecasting, fail, prblem in merging data: duplicated columns and id columns,
